1-A02,Clindamycin·HCl,461.4,N,derivative,antibiotic,
1-A03,Felbamate,238.2,N,synthetic,antiepileptic,
1-A04,Cyclosporine A,1202.6,N,natural,immunosuppressive,
1-A05,Donepezil·HCl,416,N,synthetic,anti-Alzheimer's,
1-A06,Lincomycin·HCl,443,N,natural,antibiotic,
1-A07,Mycophenolic Acid,320.3,N,natural,immunosuppressive,
1-B02,Pimozide,461.6,N,synthetic,antipsychotic,
1-B03,Loperamide·HCl,513.5,N,synthetic,anti-diarrhea,
1-B04,Tolbutamide,270.3,N,synthetic,anti-diabetic,
1-B05,Glipizide,445.5,N,synthetic,anti-diabetic,
1-B07,Quinine·HCl·H2O,396.9,N,natural,anti-malarial (anti-protozoal),
1-B08,Propafenone·HCl,377.9,N,synthetic,anti-arrythmic / cardiac,
1-B09,Phenytoin,252.3,N,synthetic,antiepileptic,
1-B10,Procainamide·HCl,271.8,N,synthetic,anti-arrythmic / cardiac,
1-C02,Flecainide Acetate,474.4,N,synthetic,anti-arrythmic / cardiac,
1-C03,Rosiglitazone ,357.4,N,synthetic,anti-diabetic,
1-C04,Amantadine·HCl,187.7,N,synthetic,anti-Parkinson's,
1-C05,Prazosin·HCl,419.9,N,synthetic,anti-hypertensive / cardiac,
1-C06,Clonidine·HCl,266.6,N,synthetic,anti-hypertensive / cardiac,
1-C07,Guanabenz Acetate ,291.1,N,synthetic,anti-hypertensive / cardiac,
1-C09,Emtricitabine,247.3,N,derivative,antiviral,
1-C11,Caffeine ,194.2,N,natural,CNS stimulant,
1-D06,Sotalol·HCl,308.8,N,synthetic,anti-arrythmic / cardiac,
1-D07,Maprotiline·HCl,313.9,N,synthetic,antidepressant,
1-D08,Pilocarpine·HCl,244.7,N,natural,Cholinergic Receptor Agonist/anti-glaucoma,
1-E03,Haloperidol ,375.9,N,synthetic,antipsychotic,
1-E04,Cimetidine,252.3,N,synthetic,anti-histamine,
1-E07,Naltrexone·HCl,377.9,N,derivative,Opoid antagonist,
1-E08,Zolmitriptan,287.4,N,derivative,anti-migraine,
1-E09,Memantine·HCl,215.8,N,synthetic,anti-Alzheimer's,
1-E10,Riluzole·HCl,270.7,N,synthetic,anti-ALS,
1-F02,Aminophylline ,420.4,N,natural,bronchodilator,
1-F03,Nateglinide,317.4,N,derivative,anti-diabetic,
1-F07,Apomorphine·HCl Hemihydrate,321.8,N,derivative,anti-parkinson's,
1-F09,Fluphenazine· HCl,510.4,N,derivative,antipsychotic,
1-F11,Diphenhydramine·HCl,291.8,N,synthetic,anti-histamine,
1-G02,Promethazine·HCl,320.9,N,derivative,anti-histamine,
1-G06,Quetiapine Fumarate,883.1,N,synthetic,antipsychotic,
1-G07,Imipramine·HCl,316.9,N,synthetic,antidepressant,
1-G08,Amoxapine,313.8,N,synthetic,antidepressant,
1-G09,Metoclopramide·HCl,336.3,N,derivative,antiemetic,
1-H02,Famotidine,337.5,N,synthetic,anti-histamine,
1-H04,Ticlopidine·HCl,300.2,N,synthetic,anti-platelet,
1-H06,Vardenafil ,488.6,N,synthetic,erectile dysfunction,
