Compound Method,x14,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
Name,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
voriconazole,3029574,3010417,2986881,3011613,3006486,3089375,3038663,3023940,3359197,2979592,3013557,2983177,3013366,3052028,2957984,2971643,2999765,2995204,3026507,3004695,3036762,3211193,3096479,3006185,2990891,3041346,3042413,3016678,3006758,3015529,3055267,3060931,3005582,3011286,3005403,3029230,3048241,3022887,2975528,3020980
hydrocortisone,2606669,2602141,2575599,2550646,2538640,2548982,2578921,2540808,2553143,2554187,2555338,2559178,2566919,2627876,2570701,2527526,2591003,2438045,2563736,2563358,2697574,2648336,2475539,2535064,2548704,2570652,2516964,2577444,2567030,2517589,2561437,2585990,2556958,2562705,2548274,2550125,2584561,2560801,2561408,2545567
capecitabine,,1572,,1013,,,3760,961,2682,,,1163,3937,760,,961,,,2437,,1318,2143,,3524,1069,1474,1708,230,1602,2255,,1560,,1806,,1910,2967,3439,4123,421
tolcapone_met_1,8035,8040,11166,7837,9833,10626,9022,9312,9745,7697,11331,617,8379,6379,6509,11449,8088,7840,7347,10244,8262,5496,9049,7236,6501,8921,10784,9974,8780,9851,9094,9705,6848,6336,7981,10113,8659,7023,9870,8722
nicardipine,,5182,,1041,2658,7733,,,1495,2678,2085,1485,1018,,603,,,,4460,684,,524,,2623,,1507,1780,2734,,,4836,7087,5827,5709,5921,2473,5358,3982,1310,
tolcapone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,,
mycophenolate_mofetil,17479,20131,16329,16199,15012,15729,15320,6560,11368,15052,18416,15950,11230,14818,11897,14096,17554,14143,14723,9895,10658,14364,12256,9532,14714,16643,13152,14561,1486,13164,16371,10209,11236,14843,11617,16495,16353,19595,17517,16696
sulfasalazine_met_1,,528,523,,435,867,869,,,849,1133,662,1051,1229,,1086,,733,,626,601,1270,1177,519,523,,913,759,876,842,,,,580,747,508,,463,,618
spironolactone,763,,1080,956,466,,549,1031,807,647,,,1139,976,,,680,,926,868,,682,1116,,995,1283,593,695,1083,945,,,1253,,632,756,614,1316,1683,1374
misoprostol,786,,,561,,,689,430,311,1000,757,1267,340,646,471,,746,919,531,889,599,615,915,,,515,700,632,956,452,,,493,1078,535,601,526,,582,
